badge,badge_type,brief,count,cv,follow,index_show,is_finish,media_id,play,pub_date,pub_real_time,renewal_time,score,season_id,staff,tags,title
,,  在第二部，故事发生在钢铁天使1的29年后，钢铁天使的主人死后把钢铁天使藏在佛像中...高中女学生那一天去神社的地窖放东西时无意中再次唤醒了沉睡中的钢铁天使久留美，此后钢铁天使久留美的两个姐妹都用不,2,"""神维那己：桑島法子\n久留美2代：榎本温子\n沙希2代：田中理恵\n""",4392追番,全12话,1,2136,5.2万次播放,987004800,987004800,1322885848,,2136,"""导演：高橋ナオヒト\n人物设定：池田裕治\n机械设定：赤松武\n原作：介錯\n系列构成：黒田洋介\n演出：秦義人\n作画监督：池田裕治\n分镜：高橋ナオヒト\n音乐：佐橋俊彦\n""", 科幻 少女,钢铁天使核桃 第二季
,,各位读者是否还记得2003年时有一部虽不算是大红大紫但也造就了一时话题的剧场版动画《茄子－安达卢西亚之夏》？这部由高坂希太郎（《千与千寻的神隐》作画监督）监督、MADHOUSE制作的47分钟剧场版动画,0,"""ぺぺ?ベネンヘリ：大泉洋\nジャン?ルイージ?チョッチ：山寺宏一\n豊城ひかる：坂本真绫\nギルモア：佐藤佑四\n豊城充一：芝井伶太""",4408追番,全1话,1,4714,1.5万次播放,1193155200,1193155200,1465787520,,4714,"""脚本：高坂希太郎\n导演：高坂希太郎\n人物设定：高坂希太郎\n原作：黒田硫黄\n色彩设计：三笠修\n演出：高橋敦史、吉野智美\n美术监督：田中直哉\n音乐：本多俊之\n""", 运动,茄子 带着旅行箱的候鸟
,,"在某个国家居住着，某处的“王”。　国王喜欢鸡蛋，喜欢玩，不喜欢学习。贪吃，总说着任性的话，但却不令人讨厌。好像孩子的样子的“国王""的愉快的故事~

「我是国王大人」系列是由日本知名童话作家寺村辉夫",0,"""""",4409追番,全12话,1,599,8.8万次播放,1365264000,1365264000,1372689381,,599,"""""", 萌系 日常 泡面 少儿,我是国王
,,哥古德.尤可特.奇坎斯基是一位到处旅行的冒险家。 有一天一自称算命师的老太婆（魔界王后）告诉哥古德，有人想夺取他的性命，但是哥古德完全不放在心上，而且还偷了老太婆的东西。没想到偷来的这块石头竟然召唤出,1,"""プリンス：三木眞一郎\nルーベット??ラ??レェテ：吉田小百合\nゴクドー??ユーコット??キカンスキー：石田彰\n""",4413追番,全26话,1,5502,7.2万次播放,922982400,922982400,1474350500,,5502,"""导演：杉島邦久\n原作：中村うさぎ\n演出：布施木一喜、谷口悟朗、カサヰケンイチ\n分镜：布施木一喜、谷口悟朗、カサヰケンイチ、横田和善\n""", 搞笑 架空 冒险,极道君漫游记
,,　　由苍树梅老师创作的四格漫画「向阳素描」，在新房及SHAFT的制作小组合作下，围绕向阳四子由乃、小宫、寻及沙英展开的动画在今年年初已经顺利播放了第三季，并一如以往四子的萌力在动画中大放异彩，成为值得,0,"""宮子：水橋かおり\n沙英：新谷良子\n由乃：阿澄佳奈\nヒロ：後藤邑子\n荠：小見川千明\n乃莉：原田ひとみ\n吉野屋：松来未祐\n梅老师：蒼樹うめ\n""",4420追番,全2话,1,3821,15.2万次播放,1288108800,1288108800,1461207866,,3821,"""原作： 蒼樹うめ\n导演： 新房昭之\n脚本： 与口奈津江、長谷川菜穂子、大嶋実句\n音乐： 菊谷知樹\n人物设定： 伊藤良明\n系列构成： 長谷川菜穂子\n色彩设计： 滝沢いづみ\n作画监督： 伊藤良明\n企画： 中山佳久、植田益朗、太布尚弘\n音响监督： 亀山俊樹\n制片人： 田中潤一朗、岩上敦宏\n制作： ひだまり荘管理組合、TBS\n动画制作： シャフト、SHAFT\n发售日： 2010年10月27日\n官方网站： http：\u002F\u002Fwww.tbs.co.jp\u002Fanime\u002Fhidamari\u002Findex-j.html\n美术监督： 飯島寿治""", 萌系 日常 治愈,向阳素描×☆☆☆ 特别篇
,,西元2060年的地球，人口爆炸，造成严重的社会问题，为了抑制入人口，凡是生育超过一个小孩的人都必须处死。岂料有一个超级花花公子竟然让100个女人怀孕，导致生下100个具有相同好色基因(DNA)的小孩散,0,"""桃生纯太：难波圭一\n葵加林：富永美衣奈\n佐伯伦子：林原惠美\n栗本亜美：笠原弘子\n高梨ことみ：椎名碧流\n菅下竜二：子安武人\n染屋垣麿：岩田光央\n市川一期：菊池英博\n栗本三郎：峰惠研\n桃生チヨ：丸山裕子\nおはる：山田荣子\n横森：大林隆之介\n森：筈见纯\n川崎るらら：玉川纱己子""",4430追番,全3话,1,7892,25.5万次播放,793296000,793296000,1509531428,,6532,"""导演: 坂田純一\n脚本: 浦畑達彦\n分镜: 小寺勝之、加瀬充子、阿部司\n演出: 小高義規、田中洋之、坂田純一\n作画监督: 君塚勝教、長森佳容\n机械设定: 小池健\n原画: 鈴木典光\n制片人: 丸山正雄\n动画制作: MADHOUSE""", 恋爱 科幻 漫画改,D·N·A?? ~他到底失去了什么？~ OVA
,,2051年，自革新者事件已过了一年。即使经历苦恼、悲伤亦持续战斗将事件解决。因而大幅度成长的山野阪，以作为阿堤密斯冠军的身份参与LBX对战。但某日，全世界的LBX突然失控并开始攻击人们，神秘的恐怖活动,0,"""大空弘:下野紘、佐藤恵\n广播:小松史法""",4463追番,全58话,1,95172,7.5万次播放,1326816000,1326816000,1527574206,,1696,"""脚本:大武正光、山田健一、古怒田健志、樋口達人\n导演:高橋ナオヒト\n原作:レベルファイブ\n分镜:牧野吉高、谷田部勝義、山本恵\n""", 少儿 热血,纸箱战机W
,,贫穷的落榜生五代裕作住在一所名叫“一刻馆”的破旧公寓中复习备考。公寓中还住着长舌的家族主妇一濑太太、奸猾刻薄的神秘人物四谷以及泼辣开放的酒廊小姐朱美，他们日夜胡闹，令五代叫苦不迭。新来的年轻漂亮的管理,0,"""五代裕作：二又一成\n音无响子：岛本须美\n惣一郎：千叶繁\n一之濑花枝：青木和代\n六本木朱美：三田ゆう子""",4454追番,全1话,1,2506,13.7万次播放,571075200,571075200,1325057044,,2506,"""脚本：望月智充、島田満\n导演：望月智充\n人物设定：森山雄治\n摄影监督：金子仁\n原画：窪岡俊之\n原作：高橋留美子\n美术监督：小倉宏昌\n音乐：森英治\n""", 日常 少女 治愈,相聚一刻 完结篇
,,《迷宫物语》（原题同，外文副标：Manie-Manie）为根据眉村卓短篇小说作品《口袋里的XYZ》（原题：ポケットのXYZ）改编的动画电影。全片包括“迷宫＊迷宫”（ラビリンス＊ラビリントス）、“狂奔者,0,"""ビリンス.ラビリントス：吉田日出子\n走る男：津嘉山正种\n工事中止命令：水岛裕""",4499追番,全1话,1,4308742,2.8万次播放,608572800,608572800,1542021073,,26013,"""脚本:川尻善昭、りんたろう、大友克洋\n导演:川尻善昭、りんたろう、大友克洋\n人物设定:川尻善昭\n原作:眉村卓\n音乐:ミッキー吉野\n""", 科幻,迷宫物语
会员专享,0,　　莉娜与娜卡的面前突然出现一位泪汪汪的美少女。她的名字叫莎琳娜，十天前她所居住的比亚兹村落，被一个名为塔因的秘密组织所驱使的下级恶魔占领，她是来请求她们帮忙，并且述说恶党们还胁迫村人去做一些挖掘的工,100,"""莉娜·因巴斯：林原惠美\n高里·卡布列夫：松本保典\n杰路刚帝士·克雷依威斯：绿川光\n加梅莉亚·威尔·迪斯拉·赛伦：铃木真仁\n梅菲尔·那鲁斯·莱塔：冬马由美""",4504追番,全1话,1,3906,1.2万次播放,839001600,839001600,1462246800,,3906,"""脚本：神坂一\n导演：湯山邦彦、わたなべひろし\n人物设定：吉松孝博\n原作：あらいずみるい、神坂一\n分镜：湯山邦彦\n美术监督：加藤浩\n音乐：服部隆之\n""", 战斗 魔法 架空 冒险,秀逗魔导士 RETURN
,,宇宙邪恶生命体欧伯斯来犯地球，欲挖掘地球的五个“行星能量释放点”以吸收地球能量，同时使地球灭亡。小学五年级学生高杉星史被地球意志选中，负责唤醒并带领众勇者对抗敌人保卫地球。,1,"""""",4505追番,全46话,1,2340,14.1万次播放,697564800,697564800,1404551730,,2340,"""""", 热血,勇者传说
,,本作是根据NAMCO BANDAI Games Inc.制作的传说系列游戏的主角发生的小故事所组成的动画。人设为Q版三头身，风格轻松搞笑。,0,"""卢克·冯·法布雷：铃木千寻\n凯·赛西尔：松本保典\n里德·哈雪尔：石田彰\n里昂·玛格那斯：绿川光""",4487追番,全5话,1,4608,7.1万次播放,1329926400,1329926400,1465617898,,4608,"""原案：山田莱弥\n脚本：菊地\n作画监督：山村直乙\n动画：川本由记子""", 萌系 搞笑,剧场传说
